,Index,Latitude,Longitude,2010,2011,2012,2013,2014,2015,2016,2017
0,0.0,24.66818,71.33144,0.009591103462289573,0.011501207722709569,0.01055504646817728,0.004885040822236732,0.012374645617825052,0.008620910557428687,0.01436893992867078,0.005861893661578975
1,1.0,24.66818,71.41106,0.027192305358362694,0.03702807770050299,0.02966978811679963,0.017547852842545793,0.03948066730139161,0.03548592899676412,0.07863811491853373,0.04767133532014322
2,2.0,24.66818,71.49069,0.050732031552365706,0.08573993038266171,0.06536127510889214,0.042992305860218565,0.0813463315609562,0.05514092038131858,0.11510573143286343,0.0828377769821363
3,3.0,24.66818,71.57031,0.06786785707847405,0.10481771068896717,0.09056692087638567,0.051230777225086614,0.10726513081857522,0.09104733197119412,0.14497080170690488,0.11436927845884319
4,4.0,24.66818,71.64994,0.016581807055270535,0.02506557278718187,0.025152387330530466,0.01451839829459893,0.022406370977461686,0.024856275440554187,0.03215248638989477,0.029520136995597
5,5.0,24.66818,71.72956,0.019708768547878064,0.046443222665226776,0.02982740580469001,0.022182649149157685,0.03395171420355105,0.028565866278940224,0.04588645152618381,0.04724364653831658
6,6.0,24.66818,71.80919,0.026670493632273536,0.04846668717779023,0.04393009191115425,0.022579728127163516,0.04677654711411158,0.04152042182859975,0.07346441956624601,0.06224314385097083
7,7.0,24.66818,71.88882,0.05470807887694705,0.1182985226982779,0.10542101209422683,0.0333545155495641,0.06568735839779902,0.07815632736437113,0.14060325835084223,0.03328245442437021
8,8.0,24.66818,71.96844,0.06652107949772705,0.06511346141061852,0.06963411612292243,0.03049711566724828,0.06820597235094411,0.05030498787384909,0.06090190634922955,0.04243202260577344
9,9.0,24.66818,72.04807,0.07684492669312475,0.08867722187654196,0.09982378697318306,0.04428889728980654,0.08960535434141381,0.05809667888030345,0.07003419654786719,0.05946621012182538
10,10.0,24.66818,72.12769,0.010089897061596912,0.021631813848280668,0.024797558842737627,0.010990689773020217,0.017668281442504364,0.009251081244842602,0.015038152231260869,0.011159118605274316
11,11.0,24.66818,72.20732,0.00386583618740208,0.0037492651933144225,0.004388765124506538,0.00251307331757142,0.007264117275748712,0.006277519144347224,0.009198249453363574,0.008950542236399156
12,12.0,24.66818,72.28694,0.002600385566806702,0.0028073234324501027,0.0020416978158443533,0.002144915268007062,0.006157630599953481,0.005736775804038906,0.007816936765039893,0.00792778983261802
13,13.0,24.66818,72.36657,0.0004584139869472019,0.0001899734673110448,0.00019279457777798484,0.00020371552119599056,0.00020682926377380044,0.00017084560750548972,0.00033201350514228204,0.00020074420071257085
14,14.0,24.58758,71.25181,0.0004276342027803432,0.0020190027280185224,0.00030677613863592515,0.0005699562533170586,0.00036590427362632896,0.00034808613879858217,0.0007931498584393695,0.0010773984978859918
15,15.0,24.58758,71.33144,0.051119582946576474,0.08810508250162354,0.06678827272494049,0.02860574739557172,0.063764244851833,0.045091727342411105,0.05720633812220382,0.029997883098291458
16,16.0,24.58758,71.41106,0.06398111951420397,0.10807565868335907,0.09316183353493,0.04818619976585628,0.09800410927789892,0.1024549880506573,0.1842188316961341,0.09645613083985613
17,17.0,24.58758,71.49069,0.157734653227928,0.20978382945394977,0.17204000397855562,0.10718882510601453,0.2353090425156168,0.1693498173647413,0.2501362374699302,0.17424168411224328
18,18.0,24.58758,71.57031,0.15845553734659376,0.1863356436124327,0.12121072358400813,0.08593429788861467,0.20140742933059944,0.149006993480136,0.23278513135807472,0.18947074751809553
19,19.0,24.58758,71.64994,0.05857523554773237,0.11862089098247026,0.103245217258146,0.047448133507057184,0.09542688342438435,0.08382058663808362,0.11751131472876074,0.10118818797974287
20,20.0,24.58758,71.72956,0.06922905267655284,0.17250390725924172,0.09356329119704361,0.06485007563140635,0.13354981355262557,0.10126179061836164,0.1612239046898015,0.14378338461584456
21,21.0,24.58758,71.80919,0.09567197819037601,0.16191640503462754,0.11652429112891992,0.07293835132356907,0.16156736953615597,0.12578373427691616,0.17675306309792635,0.14290467062820522
22,22.0,24.58758,71.88882,0.11222631690314648,0.20684610250826016,0.12213487956532275,0.07453051023157158,0.15011372475710605,0.13872673536672095,0.22736505120185005,0.11522534664811153
23,23.0,24.58758,71.96844,0.1700058104788869,0.23555118681076614,0.17343007982884812,0.09209810354235608,0.18383061523976876,0.13975790761938758,0.21393099470949564,0.12577777165336862
24,24.0,24.58758,72.04807,0.1636434716775075,0.227150732609332,0.16860868467229856,0.09434924709769983,0.20731619150291547,0.1572357614742803,0.1707289661889082,0.1265328101304485
25,25.0,24.58758,72.12769,0.05171431362320243,0.08832102373606114,0.07852625381363972,0.037992656690666184,0.06752479223775931,0.07463753778622031,0.15017119220864247,0.09762550195612296
26,26.0,24.58758,72.20732,0.02826408928142458,0.07185881474622427,0.0731599758033312,0.03025129677088931,0.05408150204456218,0.048609289975746935,0.08315653260253755,0.05052479250619161
27,27.0,24.58758,72.28694,0.02254527152960599,0.057014606571602976,0.03551320732964614,0.023487799140102492,0.048539345417743816,0.045144050310343714,0.05269985460896485,0.04675749999290417
28,28.0,24.58758,72.36657,0.007464158979936469,0.011701436220197706,0.0045595849830210875,0.0037726952158747802,0.006252863998908225,0.005912159326697859,0.0063187010967091966,0.0045303208101569025
29,29.0,24.50698,71.25181,0.00016840185127917312,0.0005730008486762304,0.00020106448253426673,0.0001816041340737877,0.00023137966249944352,0.00025673897484527976,0.0006158918628391512,0.00027272498643901707
30,30.0,24.50698,71.33144,0.03785107814170857,0.04631700629167047,0.036878998267154565,0.02134777149607268,0.046698529186042885,0.03593631427311571,0.048692866460349614,0.03383363749967291
31,31.0,24.50698,71.41106,0.0742578663720755,0.15835484901757663,0.14806314299706946,0.05533246413569604,0.11334699386831523,0.10933094777962075,0.17030858062129445,0.11418104116550844
32,32.0,24.50698,71.49069,0.13696302423492776,0.23051112003232596,0.1950898560312123,0.09069441252706825,0.18923727971846993,0.1532185183574505,0.29332590527011404,0.1518436492366181
33,33.0,24.50698,71.57031,0.1327323260635871,0.16516643727615435,0.1502332581941388,0.08487991138910238,0.16551142754634052,0.14120761428093356,0.25742325699068114,0.18464799489440892
34,34.0,24.50698,71.64994,0.13754614286200142,0.2096643809607084,0.19104708257998188,0.08264818085020448,0.1640892521279213,0.11342101562525045,0.2277846651057495,0.15210053186441502
35,35.0,24.50698,71.72956,0.11577705394556609,0.22017786130600447,0.18366291846296445,0.07265797327692733,0.16064540147009457,0.11955806169367171,0.19132791807047997,0.12693767177234294
